h,Y,M,D,H,GG,GD,GB,GN,T,RV,H,PS,U,D,N,R,h
1,2003,1,1,1,0,0,0,0,-9,83,29,475,30,135,10,0,6.31
2,2003,1,1,2,0,0,0,0,-8,83,30,479,30,135,10,0,6.66
3,2003,1,1,3,0,0,0,0,-7,86,31,500,20,135,10,0,7.01
4,2003,1,1,4,0,0,0,0,-3,86,32,514,20,135,10,0,7.67
5,2003,1,1,5,0,0,0,0,-1,88,33,534,30,158,10,0,8.12
6,2003,1,1,6,0,0,0,0,0,89,34,544,30,158,10,0,8.47
7,2003,1,1,7,0,0,0,0,2,89,34,552,30,180,10,0,8.67
8,2003,1,1,8,0,0,0,0,5,90,35,570,30,158,10,0,9.22
9,2003,1,1,9,0,0,0,0,10,92,37,605,40,180,10,0,10.23
10,2003,1,1,10,3,3,0,0,13,93,39,624,50,180,10,0,11.03
11,2003,1,1,11,14,14,0,1,15,92,39,627,50,158,10,11,11.24
12,2003,1,1,12,17,17,0,1,15,96,40,654,50,135,10,25,11.48
13,2003,1,1,13,19,19,0,1,21,97,43,690,50,135,10,23,12.84
14,2003,1,1,14,14,14,0,1,36,98,48,775,50,158,10,5,15.61
15,2003,1,1,15,8,8,0,0,47,98,52,837,50,158,10,5,17.73
16,2003,1,1,16,3,3,0,0,69,99,61,985,60,180,10,15,22.22
17,2003,1,1,17,0,0,0,0,87,98,68,1103,60,203,10,34,25.8
18,2003,1,1,18,0,0,0,0,95,97,72,1152,50,203,10,5,27.62
19,2003,1,1,19,0,0,0,0,99,97,74,1183,60,203,10,4,28.53
20,2003,1,1,20,0,0,0,0,102,95,73,1182,60,203,10,10,28.59
21,2003,1,1,21,0,0,0,0,106,94,75,1202,80,225,10,24,29.5
22,2003,1,1,22,0,0,0,0,108,95,76,1231,70,248,10,3,29.95
23,2003,1,1,23,0,0,0,0,103,95,74,1190,70,248,10,3,28.94
24,2003,1,1,24,0,0,0,0,105,96,76,1219,60,270,10,2,29.65
25,2003,1,2,1,0,0,0,0,102,96,74,1195,40,248,9,2,28.84
26,2003,1,2,2,0,0,0,0,100,97,74,1191,40,248,9,0,28.64
27,2003,1,2,3,0,0,0,0,103,95,74,1190,50,248,9,0,28.94
28,2003,1,2,4,0,0,0,0,99,96,73,1171,40,248,9,9,28.28
29,2003,1,2,5,0,0,0,0,98,97,73,1175,50,248,9,2,28.18
30,2003,1,2,6,0,0,0,0,94,98,72,1156,40,225,9,5,27.52
31,2003,1,2,7,0,0,0,0,95,98,72,1164,40,225,9,2,27.62
32,2003,1,2,8,0,0,0,0,94,97,71,1144,50,225,9,0,27.27
33,2003,1,2,9,0,0,0,0,90,96,68,1102,40,225,9,0,26.11
34,2003,1,2,10,8,8,0,2,93,95,69,1113,30,203,9,0,26.67
35,2003,1,2,11,14,14,0,1,88,96,67,1087,30,158,9,7,25.66
36,2003,1,2,12,17,17,0,1,86,97,67,1084,40,180,9,45,25.45
37,2003,1,2,13,33,32,1,3,86,98,68,1095,20,90,9,31,25.7
38,2003,1,2,14,11,11,0,0,87,98,68,1103,10,113,9,14,25.8
39,2003,1,2,15,14,14,0,1,97,98,73,1179,30,225,9,7,28.08
40,2003,1,2,16,6,6,0,0,95,98,72,1164,20,135,9,8,27.62
41,2003,1,2,17,0,0,0,0,98,97,73,1175,40,180,9,2,28.18
42,2003,1,2,18,0,0,0,0,99,95,72,1159,40,248,9,0,28.03
43,2003,1,2,19,0,0,0,0,99,95,72,1159,40,248,9,0,28.03
44,2003,1,2,20,0,0,0,0,99,93,70,1134,50,248,9,0,27.53
45,2003,1,2,21,0,0,0,0,90,93,66,1068,50,270,9,8,25.61
46,2003,1,2,22,0,0,0,0,78,94,62,995,80,293,9,22,23.38
47,2003,1,2,23,0,0,0,0,73,96,61,982,60,293,9,17,22.62
48,2003,1,2,24,0,0,0,0,77,97,63,1020,50,270,9,8,23.53
49,2003,1,3,1,0,0,0,0,79,93,61,991,50,270,9,0,23.24
50,2003,1,3,2,0,0,0,0,83,90,61,985,50,270,9,0,23.64
51,2003,1,3,3,0,0,0,0,81,91,61,983,50,270,9,0,23.44
52,2003,1,3,4,0,0,0,0,77,91,59,957,40,270,9,0,22.53
53,2003,1,3,5,0,0,0,0,57,95,54,870,10,315,9,0,19.24
54,2003,1,3,6,0,0,0,0,48,98,52,843,10,293,9,15,17.83
55,2003,1,3,7,0,0,0,0,54,98,54,879,20,360,9,2,18.94
56,2003,1,3,8,0,0,0,0,49,97,52,840,20,45,9,2,17.93
57,2003,1,3,9,0,0,0,0,46,95,50,806,10,45,9,0,17.13
58,2003,1,3,10,8,8,0,2,43,96,49,798,20,68,9,0,16.57
59,2003,1,3,11,33,32,1,7,44,95,49,795,20,45,9,0,16.67
60,2003,1,3,12,22,22,0,2,43,94,48,781,20,45,9,0,16.32
